Trophy,Tomato,Vegetable,Annual,40,10,Plant,Inside,7,14,24,36,24,36,0.25,24,36,-42,7,80,80,38,4a,13b,I,"Cage, stake or trellis",Full,,,Slightly Acidic,No,Yes,No,No,No,No,,No,No,Edible,Fruit,Shallow root ball,"Introduced in 1870 by Colonel George E. Waring, Jr., of Rhode Island. Sold for five dollars per packet (equivalent to eighty dollars today). Gardeners paid the exorbitant price hoping to win the $100 grand prize at the local fair. Sweet 5-7 ounce tomatoes are ideal for slicing. Indeterminate, 80 days from transplant.","Sow seeds indoors ¬"" deep. Tomatoes are sensitive to freezing temperatures, so wait to transplant outdoors until the soil is warm. 
",tomato.png,Sweet 5-7 ounce tomatoes are ideal for slicing. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarlet Nantes,Carrot,Vegetable,Annual,8,3,Plant,Outside,7,21,0.5,0.5,16,24,0.25,2,4,,-21,65,75,32,3b,13b,D,none,Full,,,,No,No,No,No,No,No,,No,No,Edible,Root,Deep tap root,"Fine-grained bright red-orange flesh is nearly coreless.  Great flavor, sweet and brittle.  Good when used as baby carrots.  Excellent for freezing and juicing.","Sow seeds outdoors 3-4 weeks before last spring frost or as soon as soil can be worked. Tamp soil firmly; keep bed moist until emergence. Germination is slow and uneven, so be patient. Using spun polyester row covers may improve germination rates.
",carrot.png,"Cylindrical roots are 7"" long with blunt tips. Fine-grained bright red-orange flesh is nearly coreless. Great flavor, sweet and brittle. Good when used as baby carrots. Excellent for freezing and juicing. Widely adapted, stores well.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Rush OG,Looseleaf Lettuce,Vegetable,Annual,11,12,Plant,Outside,7,14,0,0,0,0,0.25,6,8,,10,60,60,25,3b,11a,D,none,Full to Partial,,,,No,No,No,No,No,No,,No,No,Edible,Leaf,Shallow root ball,"Lime-green leaves are strikingly frilled, curly, and crinkled.  Adds unique texture to salads.  Holds without bolting for an extended period.  Mild, fresh flavor.  Best grown in cooler weather.  Plant continuously.","Sow continuously for a constant supply of lettuce. Best grown in cooler weather. Plant in full sun or partial shade.
",lettucelooseleaf.png,"Adds unique texture to salads. Holds without bolting for an extended period. Mild, fresh flavor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Romaine,Lettuce Head,Vegetable,Annual,12,12,Plant,Outside,7,14,0,0,0,0,0.25,10,10,,10,70,70,25,3b,11a,D,none,Full to Partial,,,,No,No,No,No,No,No,,No,No,Edible,Leaf,Shallow root ball,"Gourmet variety used as a colorful and tasty addition to salads. Red color develops best during cooler weather. The largest romaine we offer, 12"" tall and 10-12"" wide.  Sow continuously for a constant supply of lettuce. Best grown in cooler weather.",Sow continuously for a constant supply of lettuce. Best grown in cooler weather. ,lettucehead.png,Gourmet variety used as a colorful and tasty addition to salads. Red color develops best during cooler weather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Bantam,Corn (Sweet),Vegetable,Annual,84,8,Plant,Outside,4,21,4,4,36,48,1.00,8,8,,7,70,85,38,3b,13b,D,none,Full,Sandy Fertile,Moist,,No,Yes,No,Yes,No,No,,No,No,Edible,Fruit,Shallow root ball,"This improved strain was selected for longer ears and greater tenderness. Produces an early main crop for home gardeners and market growers. Excellent sweet flavor, ideal for freezing and fresh eating.  For good pollination and full ears, plant in blocks of 3-6 rows instead of one long row.","Sow seeds outdoors 1"" deep after danger of frost has passed. For good pollination and full ears, plant in blocks of 3-6 rows instead of one long row. Thin seedlings to 8"" apart. Corn is a heavy feeder and does best in well-drained fertile soil with plenty of water.
",corn.png,"Excellent sweet flavor, ideal for freezing and fresh eating.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2"" Strawberry Corn",Corn (Decorative),Vegetable,Annual,60,9,Plant,Outside,4,21,4,4,36,48,1.00,8,8,,7,100,100,38,3b,13b,D,none,Full,Sandy Fertile,Moist,,No,No,No,Yes,No,No,,No,No,Edible,Fruit,Shallow root ball,"Small red strawberry-shaped ears are good for popping and gorgeous for fall decorations. For good pollination and full ears, plant in blocks of 3-6 rows instead of one long row.  Corn is a heavy feeder and does best in well-drained fertile soil with plenty of water.","Sow seeds outdoors 1"" deep after danger of frost has passed. For good pollination and full ears, plant in blocks of 3-6 rows instead of one long row. Thin seedlings to 8"" apart. Corn is a heavy feeder and does best in well-drained fertile soil with plenty of water.",decorativecorn.png,Small red strawberry-shaped ears are good for popping and gorgeous for fall decorations. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Beauty Zucchini,Zucchini,Vegetable,Annual,18,30,Plant,Inside or Outside,2,4,18,30,36,48,1.00,18,30,-21,7,45,65,38,3b,13b,D,none,Full,,Moist,Neutral,No,Yes,Yes,No,No,Yes,Polinators,No,No,Edible,Fruit,Shallow root ball,"Compact everbearing bush plants are loaded with glossy green-black fruits with firm white flesh. Best eaten when under 8"" long. Excellent variety for freezing.  Sow seeds outdoors in 12"" diameter hills after danger of frost has passed. Hills should be spaced 6' apart in all directions. Can also be started indoors 3 weeks before transplanting out.","Sow seeds outdoors in 12"" diameter hills after danger of frost has passed. Hills should be spaced 6' apart in all directions. Can also be started indoors 3 weeks before transplanting out.
",zucchini.png,"Best eaten when under 8"" long. Excellent variety for freezing. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amish Pie,Pumpkin,Vegetable,Annual,28,50,Plant,Inside or Outside,2,4,4,6,35,40,1.00,20,35,-21,7,90,105,38,3b,13b,D,none,Full,Loamy,Moist,Neutral,No,Yes,Yes,No,Yes,Yes,Polinators,No,No,Edible,Fruit,Shallow root ball,"One of the best processing pumpkins. Pale orange flesh measures up to 5"" thick, and the largest fruits weigh 60-80 pounds. Firm moist flesh is excellent for making pies and for freezing.  Sow seeds outdoors in 12"" diameter hills after danger of frost has passed. Hills should be spaced 6' apart in all directions. Can also be started indoors 3 weeks before transplanting out.","Sow seeds outdoors in 12"" diameter hills after danger of frost has passed. Hills should be spaced 6' apart in all directions. Can also be started indoors 3 weeks before transplanting out.",pumpkin.png,"Pale orange flesh measures up to 5"" thick, and the largest fruits weigh 60-80 pounds. Firm moist flesh is excellent for making pies and for freezing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King of the North,Bell Pepper,Vegetable,Annual,25,9,Plant,Inside,7,21,4,6,30,40,0.25,12,24,-56,14,75,75,45,3b,13b,D,none,Full,,Moist,,No,No,No,No,No,No,,No,No,Edible,Fruit,Shallow root ball,"The best red bell pepper we know for northern gardeners where the seasons are cool and short. Blocky, uniform fruits are excellent for stuffing or fresh eating. Great sweet flavor.  Peppers germinate best in warm soil, so gentle bottom heat may be helpful until seedlings emerge. Wait to transplant outdoors until soil is warm.","Sow seeds indoors ¬"" deep. Peppers germinate best in warm soil, so gentle bottom heat may be helpful until seedlings emerge. Wait to transplant outdoors until soil is warm.
",bellpepper.png,"Blocky, uniform fruits are excellent for stuffing or fresh eating. Great sweet flavor. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maule's Red Hot,Hot Pepper,Vegetable,Annual,22,8,Plant,Inside,12,16,4,6,30,30,0.25,12,24,-56,30,75,80,45,5b,13b,D,none,Full,,,,No,No,No,No,No,No,,No,No,Edible,Fruit,Shallow root ball,"Vivid red 10"" long cayenne-type peppers are great for hot sauce or dried red pepper flakes. High yielding plants produce well even in northern areas. From the William Maule Seed Company of Philadelphia. 80 days from transplant. HOT
","Peppers germinate best in warm soil, so gentle bottom heat may be helpful until seedlings emerge. Wait to transplant outdoors until soil is warm.
",hotpepper.png,"Vivid red 10"" long cayenne-type peppers are great for hot sauce or dried red pepper flakes. High yielding plants produce well even in northern areas. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
